,sex,Geopolitical entity (reporting),TIME_PERIOD,OBS_VALUE,real_gdp_current,MED_E_current,MEI_E_current,real_gdp_minus_5,MED_E_minus_5,MEI_E_minus_5,real_gdp_minus_10,MED_E_minus_10,MEI_E_minus_10,people_in_low_work_intensity_household_perc,material_deprivation_rate_perc,mean-median,qoutient
0,F,Austria,2015,83.7,39640,23263.169050813398,25342.505854900475,38800.0,20206.40370497953,22544.439063401882,36950.0,17601.9809889338,19614.340743930275,4.4,5.9,2079.3368040870773,0.08938321341968554
1,F,Austria,2016,84.1,39970,24605.25052050276,26527.179512624185,39800.0,21228.830471468103,23461.591105303916,37970.0,17802.543685450644,19607.809630111697,5.3,4.9,1921.9289921214258,0.07811052322023483
2,F,Austria,2017,84.0,40620,24844.2210195302,27311.59311238417,39870.0,21636.216197561822,23801.36912232058,39270.0,18416.722714962314,20309.65452280178,4.9,5.0,2467.3720928539697,0.09931372333688196
3,F,Austria,2018,84.1,41430,24443.071027910697,26600.12664778032,39540.0,21898.770604481677,24150.04155841652,39710.0,19541.957659348514,21731.722815838923,4.7,4.2,2157.0556198696213,0.0882481426906854
4,F,Austria,2019,84.2,41970,25082.30573861613,27650.039981734888,39520.0,23041.37294816712,25606.67219993727,38200.0,20036.04926603819,22141.737159524524,4.7,4.5,2567.734243118757,0.10237233649399041
5,F,Austria,2020,83.6,39140,24756.261151170656,27209.692717056372,39640.0,23263.169050813398,25342.505854900475,38800.0,20206.40370497953,22544.439063401882,4.4,3.7,2453.431565885716,0.09910347733464993
6,F,Austria,2021,83.7,40860,26013.946597246566,28240.80586890308,39970.0,24605.25052050276,26527.179512624185,39800.0,21228.830471468103,23461.591105303916,5.8,3.3,2226.8592716565145,0.08560251568642088
7,F,Austria,2022,83.6,42540,26729.51122029691,29365.931253697883,40620.0,24844.2210195302,27311.59311238417,39870.0,21636.216197561822,23801.36912232058,5.3,4.4,2636.420033400973,0.0986333050265065
8,F,Austria,2023,84.2,41770,30131.093395769814,33296.13573730865,41430.0,24443.071027910697,26600.12664778032,39540.0,21898.770604481677,24150.04155841652,4.0,6.4,3165.042341538836,0.10504239922415776
9,F,Belgium,2015,83.4,36860,20425.821790948725,21636.369311256287,36040.0,17406.484413203132,19041.490998188434,34830.0,15352.838276166887,16664.107112376492,13.8,10.5,1210.547520307562,0.05926554792737842
10,F,Belgium,2016,84.0,37110,21412.87919834603,22880.207654717873,36270.0,35740.916301918114,38822.253813988376,35480.0,16000.995151465475,17240.364233460234,15.0,12.4,1467.3284563718444,0.06852550947399841
11,F,Belgium,2017,83.9,37510,20989.85553725426,22186.21019619166,36120.0,18543.56399490374,19845.843068620783,36520.0,16285.731649674242,17568.335238474163,13.4,10.9,1196.3546589373982,0.05699680289909687
12,F,Belgium,2018,83.9,38040,21490.784333300828,22709.968584040078,36060.0,19783.103774211777,21025.849601087477,36400.0,16697.17761915993,18198.819216568892,12.4,9.8,1219.1842507392503,0.05673056096189452
13,F,Belgium,2019,84.3,38760,22118.937680001134,23725.507881034915,36530.0,20039.481756601694,21403.545877708202,35420.0,17670.330141032442,19003.33961156859,12.6,9.8,1606.570201033781,0.07263324415830166
14,F,Belgium,2020,83.0,36740,22507.493143628744,24099.48868064064,36860.0,20425.821790948725,21636.369311256287,36040.0,17406.484413203132,19041.490998188434,11.4,10.2,1591.995537011895,0.07073180148729916
15,F,Belgium,2021,84.3,38870,22755.725183391718,24328.976749805333,37110.0,21412.87919834603,22880.207654717873,36270.0,35740.916301918114,38822.253813988376,11.6,8.8,1573.2515664136154,0.0691365163594898
16,F,Belgium,2022,83.9,40190,24317.14298464144,26059.114070716223,37510.0,20989.85553725426,22186.21019619166,36120.0,18543.56399490374,19845.843068620783,11.1,9.1,1741.9710860747837,0.07163551602978203
17,F,Belgium,2023,84.5,40330,25448.32295840943,27211.957015724598,38040.0,21490.784333300828,22709.968584040078,36060.0,19783.103774211777,21025.849601087477,10.9,9.3,1763.6340573151683,0.06930256505300965
19,F,Bulgaria,2016,78.5,6840,6867.030049235753,8266.284851971359,5960.0,5830.0921655390885,6865.676553346431,5010.0,3202.635461616826,3638.3068034658686,10.9,50.5,1399.254802735606,0.20376418811380217
20,F,Bulgaria,2017,78.4,7130,7627.881407587624,9536.697731974187,6070.0,5612.86095907615,6539.134682898389,5380.0,3305.0686294297957,3804.821054000505,9.8,47.0,1908.8163243865629,0.25024200330223023
21,F,Bulgaria,2018,78.6,7410,7190.698440646598,9147.172007696752,6130.0,5908.449701389001,7126.327907385836,5730.0,4783.4507297838545,5770.950791209734,8.3,39.0,1956.473567050154,0.2720839405517088
22,F,Bulgaria,2019,78.8,7800,8363.938569352693,10635.252097071008,6260.0,6814.408480194551,7988.007575933717,5570.0,5589.339832611799,6525.284828693758,8.8,37.1,2271.3135277183155,0.2715602833383912
23,F,Bulgaria,2020,77.3,7620,8530.130162597203,10988.84008238862,6560.0,6930.734755987137,8311.803012424472,5690.0,5801.395881929446,6817.9395632349415,7.9,36.7,2458.7099197914176,0.2882382651758745
24,F,Bulgaria,2021,74.9,8270,9161.931687488954,12108.742155956443,6840.0,6867.030049235753,8266.284851971359,5960.0,5830.0921655390885,6865.676553346431,8.2,33.4,2946.810468467489,0.32163637199909456
25,F,Bulgaria,2022,77.9,8660,9494.693407248531,11895.411231181433,7130.0,7627.881407587624,9536.697731974187,6070.0,5612.86095907615,6539.134682898389,8.6,33.1,2400.7178239329023,0.2528483776106054
26,F,Bulgaria,2023,79.7,8850,11213.691565405337,13828.434258541149,7410.0,7190.698440646598,9147.172007696752,6130.0,5908.449701389001,7126.327907385836,6.9,32.1,2614.7426931358114,0.23317412271284432
27,F,Cyprus,2015,83.7,20810,16022.506330907554,19523.64375010026,23510.0,18582.961762268118,21941.226922781145,23100.0,14737.413360644905,16936.795638958636,10.5,19.8,3501.1374191927043,0.21851371732267502
28,F,Cyprus,2016,84.9,22060,17099.35655987623,20186.184183547117,23020.0,19181.67217387463,22909.976719529972,23790.0,16291.327827512294,18893.844365989997,10.7,19.0,3086.827623670888,0.180523028036865
29,F,Cyprus,2017,84.2,23130,17511.48954661047,20770.495844787565,21930.0,18623.689426316592,22550.184318909847,24480.0,18087.143839226814,21264.64644797187,9.6,15.1,3259.0062981770934,0.18610674377542644
30,F,Cyprus,2018,84.8,24300,17978.27282201298,20721.579209381896,20510.0,17512.10765359816,21596.104963860827,24740.0,18487.80942589141,21384.460114882826,8.3,12.2,2743.306387368917,0.15259009664209536
31,F,Cyprus,2019,84.4,25390,18993.86278665166,22741.303729440067,20170.0,16115.568644991603,21000.70352980879,23600.0,18699.86664087967,22121.563834624652,6.9,10.9,3747.4409427884057,0.19729746312698432
32,F,Cyprus,2020,84.4,24240,18616.040694859017,21883.71466967294,20810.0,16022.506330907554,19523.64375010026,23510.0,18582.961762268118,21941.226922781145,6.4,9.1,3267.6739748139225,0.17553001888937209
33,F,Cyprus,2021,83.4,26600,18880.699060704548,22344.281147178088,22060.0,17099.35655987623,20186.184183547117,23020.0,19181.67217387463,22909.976719529972,5.8,9.3,3463.5820864735397,0.18344564866679747
34,F,Cyprus,2022,83.4,27990,20090.157568079507,23257.266106614843,23130.0,17511.48954661047,20770.495844787565,21930.0,18623.689426316592,22550.184318909847,4.8,10.0,3167.1085385353363,0.15764478341212393
35,F,Cyprus,2023,84.9,28220,21230.62023259025,24920.80443234366,24300.0,17978.27282201298,20721.579209381896,20510.0,17512.10765359816,21596.104963860827,4.7,8.9,3690.18419975341,0.17381424373503515
