,sex,Geopolitical entity (reporting),TIME_PERIOD,OBS_VALUE,real_gdp_current,MED_E_current,MEI_E_current,real_gdp_minus_5,MED_E_minus_5,MEI_E_minus_5,real_gdp_minus_10,MED_E_minus_10,MEI_E_minus_10,people_in_low_work_intensity_household_perc,material_deprivation_rate_perc,mean-median,qoutient
0,T,Austria,2015,81.3,39640,23917.419235694186,26106.63677312125,38800.0,20807.210246400606,23118.26051547912,36950.0,18103.29226980518,20134.169775320333,4.2,5.0,2189.217537427063,0.09153234786133992
1,T,Austria,2016,81.8,39970,25084.839725347025,27223.364567490928,39800.0,21853.145323787754,24048.425572467237,37970.0,18396.665439349807,20112.366693696546,4.9,4.4,2138.524842143903,0.08525168450580237
2,T,Austria,2017,81.7,40620,25424.46087899722,27927.898907529172,39870.0,22269.766387383497,24466.16143361618,39270.0,18879.02122823096,20906.700088269692,5.1,4.5,2503.438028531953,0.09846572717693326
3,T,Austria,2018,81.8,41430,25116.90483205981,27363.97258488078,39540.0,22583.94161034564,24785.392816339918,39710.0,20222.669539748014,22402.605997002607,5.0,3.6,2247.067752820971,0.08946435748535228
4,T,Austria,2019,82.0,41970,25669.419699098282,28239.395144749735,39520.0,23677.00255702405,26211.982358207817,38200.0,20607.44276137352,22795.551235665145,4.6,3.8,2569.975445651453,0.10011817469102081
5,T,Austria,2020,81.3,39140,25332.4893922345,27865.59837432482,39640.0,23917.419235694186,26106.63677312125,38800.0,20807.210246400606,23118.26051547912,4.4,3.2,2533.1089820903217,0.09999447519227339
6,T,Austria,2021,81.3,40860,26524.600920130517,28708.22702053673,39970.0,25084.839725347025,27223.364567490928,39800.0,21853.145323787754,24048.425572467237,5.7,2.8,2183.6261004062144,0.08232456001812938
7,T,Austria,2022,81.4,42540,27307.662914610257,30084.54810766793,40620.0,25424.46087899722,27927.898907529172,39870.0,22269.766387383497,24466.16143361618,5.3,3.7,2776.8851930576748,0.10168886300306477
8,T,Austria,2023,81.9,41770,30816.079347956693,34498.86380923699,41430.0,25116.90483205981,27363.97258488078,39540.0,22583.94161034564,24785.392816339918,4.5,5.8,3682.7844612802946,0.11950853383055321
9,T,Belgium,2015,81.1,36860,20971.115170833134,22330.66179225538,36040.0,17794.94020663055,19584.84025981855,34830.0,15952.39309240071,17227.621975231978,12.5,9.6,1359.546621422247,0.06482948619313864
10,T,Belgium,2016,81.5,37110,22104.691439571237,23647.50942243025,36270.0,36636.61562751243,39752.76094279191,35480.0,16487.734817355267,17836.66025991133,13.1,11.2,1542.817982859011,0.06979595200759504
11,T,Belgium,2017,81.6,37510,21740.382354579688,22975.65640641403,36120.0,19113.42841368789,20360.90397768618,36520.0,16805.277259140268,18133.25259112954,12.3,9.6,1235.2740518343417,0.05681933425490683
12,T,Belgium,2018,81.7,38040,22136.896491438085,23465.238826445402,36060.0,20506.06928110089,21623.688633148613,36400.0,17240.27244834466,18784.6262541856,10.9,9.1,1328.3423350073172,0.06000580684474365
13,T,Belgium,2019,82.1,38760,22743.247432810986,24493.05027179096,36530.0,20629.529223831625,21941.414405435036,35420.0,18117.33608429613,19614.71700713029,11.9,8.8,1749.8028389799729,0.07693724672122179
14,T,Belgium,2020,80.8,36740,23094.578529791157,24836.402004482938,36860.0,20971.115170833134,22330.66179225538,36040.0,17794.94020663055,19584.84025981855,11.0,9.3,1741.8234746917806,0.07542131467975882
15,T,Belgium,2021,81.9,38870,23439.7560445478,25034.601841916225,37110.0,22104.691439571237,23647.50942243025,36270.0,36636.61562751243,39752.76094279191,11.3,8.4,1594.8457973684235,0.068040204613793
16,T,Belgium,2022,81.8,40190,24898.98563592792,26631.99478193825,37510.0,21740.382354579688,22975.65640641403,36120.0,19113.42841368789,20360.90397768618,10.3,8.2,1733.0091460103322,0.06960159627987783
17,T,Belgium,2023,82.5,40330,25892.693834812482,27742.96618087863,38040.0,22136.896491438085,23465.238826445402,36060.0,20506.06928110089,21623.688633148613,9.8,8.5,1850.2723460661473,0.07145924475337802
18,T,Bulgaria,2016,74.9,6840,7027.362248313163,8490.71807409366,5960.0,5997.267041896689,6976.458441268004,5010.0,3286.6192341997576,3722.8351699887735,10.9,47.8,1463.355825780497,0.20823685674262185
19,T,Bulgaria,2017,74.8,7130,7874.67107643441,9833.345756481287,6070.0,5813.47418952532,6675.557634875351,5380.0,3402.1372628045297,3897.134815091259,10.4,44.4,1958.6746800468773,0.24873098330524174
