STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,c_birth,Country/region of birth,sex,Sex,age,Age class,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:ILC_LVHL16N(1.0),People living in households with very low work intensity by group of country of birth (population aged 18 to 64 years),A,Annual,NAT,Reporting country,F,Females,Y18-64,From 18 to 64 years,PC,Percentage,AL,Albania,2020,,11.9,,,,,
dataflow,ESTAT:ILC_LVHL16N(1.0),People living in households with very low work intensity by group of country of birth (population aged 18 to 64 years),A,Annual,NAT,Reporting country,F,Females,Y18-64,From 18 to 64 years,PC,Percentage,AL,Albania,2021,,12.2,,,,,
dataflow,ESTAT:ILC_LVHL16N(1.0),People living in households with very low work intensity by group of country of birth (population aged 18 to 64 years),A,Annual,NAT,Reporting country,F,Females,Y18-64,From 18 to 64 years,PC,Percentage,AT,Austria,2015,,4.4,,,,,
dataflow,ESTAT:ILC_LVHL16N(1.0),People living in households with very low work intensity by group of country of birth (population aged 18 to 64 years),A,Annual,NAT,Reporting country,F,Females,Y18-64,From 18 to 64 years,PC,Percentage,AT,Austria,2016,,5.3,,,,,
dataflow,ESTAT:ILC_LVHL16N(1.0),People living in households with very low work intensity by group of country of birth (population aged 18 to 64 years),A,Annual,NAT,Reporting country,F,Females,Y18-64,From 18 to 64 years,PC,Percentage,AT,Austria,2017,,4.9,,,,,
dataflow,ESTAT:ILC_LVHL16N(1.0),People living in households with very low work intensity by group of country of birth (population aged 18 to 64 years),A,Annual,NAT,Reporting country,F,Females,Y18-64,From 18 to 64 years,PC,Percentage,AT,Austria,2018,,4.7,,,,,
dataflow,ESTAT:ILC_LVHL16N(1.0),People living in households with very low work intensity by group of country of birth (population aged 18 to 64 years),A,Annual,NAT,Reporting country,F,Females,Y18-64,From 18 to 64 years,PC,Percentage,AT,Austria,2019,,4.7,,,,,
dataflow,ESTAT:ILC_LVHL16N(1.0),People living in households with very low work intensity by group of country of birth (population aged 18 to 64 years),A,Annual,NAT,Reporting country,F,Females,Y18-64,From 18 to 64 years,PC,Percentage,AT,Austria,2020,,4.4,,,,,
dataflow,ESTAT:ILC_LVHL16N(1.0),People living in households with very low work intensity by group of country of birth (population aged 18 to 64 years),A,Annual,NAT,Reporting country,F,Females,Y18-64,From 18 to 64 years,PC,Percentage,AT,Austria,2021,,5.8,,,,,
dataflow,ESTAT:ILC_LVHL16N(1.0),People living in households with very low work intensity by group of country of birth (population aged 18 to 64 years),A,Annual,NAT,Reporting country,F,Females,Y18-64,From 18 to 64 years,PC,Percentage,AT,Austria,2022,,5.3,,,,,
dataflow,ESTAT:ILC_LVHL16N(1.0),People living in households with very low work intensity by group of country of birth (population aged 18 to 64 years),A,Annual,NAT,Reporting country,F,Females,Y18-64,From 18 to 64 years,PC,Percentage,AT,Austria,2023,,4.0,,,,,
dataflow,ESTAT:ILC_LVHL16N(1.0),People living in households with very low work intensity by group of country of birth (population aged 18 to 64 years),A,Annual,NAT,Reporting country,F,Females,Y18-64,From 18 to 64 years,PC,Percentage,AT,Austria,2024,,4.0,,,,,
dataflow,ESTAT:ILC_LVHL16N(1.0),People living in households with very low work intensity by group of country of birth (population aged 18 to 64 years),A,Annual,NAT,Reporting country,F,Females,Y18-64,From 18 to 64 years,PC,Percentage,BE,Belgium,2015,,13.8,,,,,
dataflow,ESTAT:ILC_LVHL16N(1.0),People living in households with very low work intensity by group of country of birth (population aged 18 to 64 years),A,Annual,NAT,Reporting country,F,Females,Y18-64,From 18 to 64 years,PC,Percentage,BE,Belgium,2016,,15.0,,,,,
dataflow,ESTAT:ILC_LVHL16N(1.0),People living in households with very low work intensity by group of country of birth (population aged 18 to 64 years),A,Annual,NAT,Reporting country,F,Females,Y18-64,From 18 to 64 years,PC,Percentage,BE,Belgium,2017,,13.4,,,,,
dataflow,ESTAT:ILC_LVHL16N(1.0),People living in households with very low work intensity by group of country of birth (population aged 18 to 64 years),A,Annual,NAT,Reporting country,F,Females,Y18-64,From 18 to 64 years,PC,Percentage,BE,Belgium,2018,,12.4,,,,,
dataflow,ESTAT:ILC_LVHL16N(1.0),People living in households with very low work intensity by group of country of birth (population aged 18 to 64 years),A,Annual,NAT,Reporting country,F,Females,Y18-64,From 18 to 64 years,PC,Percentage,BE,Belgium,2019,,12.6,,b,break in time series,,
dataflow,ESTAT:ILC_LVHL16N(1.0),People living in households with very low work intensity by group of country of birth (population aged 18 to 64 years),A,Annual,NAT,Reporting country,F,Females,Y18-64,From 18 to 64 years,PC,Percentage,BE,Belgium,2020,,11.4,,,,,
dataflow,ESTAT:ILC_LVHL16N(1.0),People living in households with very low work intensity by group of country of birth (population aged 18 to 64 years),A,Annual,NAT,Reporting country,F,Females,Y18-64,From 18 to 64 years,PC,Percentage,BE,Belgium,2021,,11.6,,,,,
dataflow,ESTAT:ILC_LVHL16N(1.0),People living in households with very low work intensity by group of country of birth (population aged 18 to 64 years),A,Annual,NAT,Reporting country,F,Females,Y18-64,From 18 to 64 years,PC,Percentage,BE,Belgium,2022,,11.1,,,,,
dataflow,ESTAT:ILC_LVHL16N(1.0),People living in households with very low work intensity by group of country of birth (population aged 18 to 64 years),A,Annual,NAT,Reporting country,F,Females,Y18-64,From 18 to 64 years,PC,Percentage,BE,Belgium,2023,,10.9,,,,,
dataflow,ESTAT:ILC_LVHL16N(1.0),People living in households with very low work intensity by group of country of birth (population aged 18 to 64 years),A,Annual,NAT,Reporting country,F,Females,Y18-64,From 18 to 64 years,PC,Percentage,BE,Belgium,2024,,11.7,,,,,
dataflow,ESTAT:ILC_LVHL16N(1.0),People living in households with very low work intensity by group of country of birth (population aged 18 to 64 years),A,Annual,NAT,Reporting country,F,Females,Y18-64,From 18 to 64 years,PC,Percentage,BG,Bulgaria,2015,,10.4,,,,,
dataflow,ESTAT:ILC_LVHL16N(1.0),People living in households with very low work intensity by group of country of birth (population aged 18 to 64 years),A,Annual,NAT,Reporting country,F,Females,Y18-64,From 18 to 64 years,PC,Percentage,BG,Bulgaria,2016,,10.9,,b,break in time series,,
dataflow,ESTAT:ILC_LVHL16N(1.0),People living in households with very low work intensity by group of country of birth (population aged 18 to 64 years),A,Annual,NAT,Reporting country,F,Females,Y18-64,From 18 to 64 years,PC,Percentage,BG,Bulgaria,2017,,9.8,,,,,
dataflow,ESTAT:ILC_LVHL16N(1.0),People living in households with very low work intensity by group of country of birth (population aged 18 to 64 years),A,Annual,NAT,Reporting country,F,Females,Y18-64,From 18 to 64 years,PC,Percentage,BG,Bulgaria,2018,,8.3,,,,,
dataflow,ESTAT:ILC_LVHL16N(1.0),People living in households with very low work intensity by group of country of birth (population aged 18 to 64 years),A,Annual,NAT,Reporting country,F,Females,Y18-64,From 18 to 64 years,PC,Percentage,BG,Bulgaria,2019,,8.8,,,,,
