STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,citizen,Country of citizenship,age,Age class,sex,Sex,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:ILC_MDSD04(1.0),"Material and social deprivation rate by age, sex and group of citizenship",A,Annual,NAT,Reporting country,Y_GE16,16 years or over,F,Females,PC,Percentage,AL,Albania,2017,,66.8,,,,,
dataflow,ESTAT:ILC_MDSD04(1.0),"Material and social deprivation rate by age, sex and group of citizenship",A,Annual,NAT,Reporting country,Y_GE16,16 years or over,F,Females,PC,Percentage,AL,Albania,2018,,65.0,,,,,
dataflow,ESTAT:ILC_MDSD04(1.0),"Material and social deprivation rate by age, sex and group of citizenship",A,Annual,NAT,Reporting country,Y_GE16,16 years or over,F,Females,PC,Percentage,AL,Albania,2019,,63.6,,,,,
dataflow,ESTAT:ILC_MDSD04(1.0),"Material and social deprivation rate by age, sex and group of citizenship",A,Annual,NAT,Reporting country,Y_GE16,16 years or over,F,Females,PC,Percentage,AL,Albania,2020,,58.7,,,,,
dataflow,ESTAT:ILC_MDSD04(1.0),"Material and social deprivation rate by age, sex and group of citizenship",A,Annual,NAT,Reporting country,Y_GE16,16 years or over,F,Females,PC,Percentage,AL,Albania,2021,,59.1,,,,,
dataflow,ESTAT:ILC_MDSD04(1.0),"Material and social deprivation rate by age, sex and group of citizenship",A,Annual,NAT,Reporting country,Y_GE16,16 years or over,F,Females,PC,Percentage,AT,Austria,2014,,7.1,,,,,
dataflow,ESTAT:ILC_MDSD04(1.0),"Material and social deprivation rate by age, sex and group of citizenship",A,Annual,NAT,Reporting country,Y_GE16,16 years or over,F,Females,PC,Percentage,AT,Austria,2015,,5.9,,,,,
dataflow,ESTAT:ILC_MDSD04(1.0),"Material and social deprivation rate by age, sex and group of citizenship",A,Annual,NAT,Reporting country,Y_GE16,16 years or over,F,Females,PC,Percentage,AT,Austria,2016,,4.9,,,,,
dataflow,ESTAT:ILC_MDSD04(1.0),"Material and social deprivation rate by age, sex and group of citizenship",A,Annual,NAT,Reporting country,Y_GE16,16 years or over,F,Females,PC,Percentage,AT,Austria,2017,,5.0,,,,,
dataflow,ESTAT:ILC_MDSD04(1.0),"Material and social deprivation rate by age, sex and group of citizenship",A,Annual,NAT,Reporting country,Y_GE16,16 years or over,F,Females,PC,Percentage,AT,Austria,2018,,4.2,,,,,
dataflow,ESTAT:ILC_MDSD04(1.0),"Material and social deprivation rate by age, sex and group of citizenship",A,Annual,NAT,Reporting country,Y_GE16,16 years or over,F,Females,PC,Percentage,AT,Austria,2019,,4.5,,,,,
dataflow,ESTAT:ILC_MDSD04(1.0),"Material and social deprivation rate by age, sex and group of citizenship",A,Annual,NAT,Reporting country,Y_GE16,16 years or over,F,Females,PC,Percentage,AT,Austria,2020,,3.7,,,,,
dataflow,ESTAT:ILC_MDSD04(1.0),"Material and social deprivation rate by age, sex and group of citizenship",A,Annual,NAT,Reporting country,Y_GE16,16 years or over,F,Females,PC,Percentage,AT,Austria,2021,,3.3,,,,,
dataflow,ESTAT:ILC_MDSD04(1.0),"Material and social deprivation rate by age, sex and group of citizenship",A,Annual,NAT,Reporting country,Y_GE16,16 years or over,F,Females,PC,Percentage,AT,Austria,2022,,4.4,,,,,
dataflow,ESTAT:ILC_MDSD04(1.0),"Material and social deprivation rate by age, sex and group of citizenship",A,Annual,NAT,Reporting country,Y_GE16,16 years or over,F,Females,PC,Percentage,AT,Austria,2023,,6.4,,,,,
dataflow,ESTAT:ILC_MDSD04(1.0),"Material and social deprivation rate by age, sex and group of citizenship",A,Annual,NAT,Reporting country,Y_GE16,16 years or over,F,Females,PC,Percentage,AT,Austria,2024,,5.3,,,,,
dataflow,ESTAT:ILC_MDSD04(1.0),"Material and social deprivation rate by age, sex and group of citizenship",A,Annual,NAT,Reporting country,Y_GE16,16 years or over,F,Females,PC,Percentage,BE,Belgium,2014,,10.7,,,,,
dataflow,ESTAT:ILC_MDSD04(1.0),"Material and social deprivation rate by age, sex and group of citizenship",A,Annual,NAT,Reporting country,Y_GE16,16 years or over,F,Females,PC,Percentage,BE,Belgium,2015,,10.5,,,,,
dataflow,ESTAT:ILC_MDSD04(1.0),"Material and social deprivation rate by age, sex and group of citizenship",A,Annual,NAT,Reporting country,Y_GE16,16 years or over,F,Females,PC,Percentage,BE,Belgium,2016,,12.4,,,,,
dataflow,ESTAT:ILC_MDSD04(1.0),"Material and social deprivation rate by age, sex and group of citizenship",A,Annual,NAT,Reporting country,Y_GE16,16 years or over,F,Females,PC,Percentage,BE,Belgium,2017,,10.9,,,,,
dataflow,ESTAT:ILC_MDSD04(1.0),"Material and social deprivation rate by age, sex and group of citizenship",A,Annual,NAT,Reporting country,Y_GE16,16 years or over,F,Females,PC,Percentage,BE,Belgium,2018,,9.8,,,,,
dataflow,ESTAT:ILC_MDSD04(1.0),"Material and social deprivation rate by age, sex and group of citizenship",A,Annual,NAT,Reporting country,Y_GE16,16 years or over,F,Females,PC,Percentage,BE,Belgium,2019,,9.8,,b,break in time series,,
dataflow,ESTAT:ILC_MDSD04(1.0),"Material and social deprivation rate by age, sex and group of citizenship",A,Annual,NAT,Reporting country,Y_GE16,16 years or over,F,Females,PC,Percentage,BE,Belgium,2020,,10.2,,,,,
dataflow,ESTAT:ILC_MDSD04(1.0),"Material and social deprivation rate by age, sex and group of citizenship",A,Annual,NAT,Reporting country,Y_GE16,16 years or over,F,Females,PC,Percentage,BE,Belgium,2021,,8.8,,,,,
dataflow,ESTAT:ILC_MDSD04(1.0),"Material and social deprivation rate by age, sex and group of citizenship",A,Annual,NAT,Reporting country,Y_GE16,16 years or over,F,Females,PC,Percentage,BE,Belgium,2022,,9.1,,,,,
dataflow,ESTAT:ILC_MDSD04(1.0),"Material and social deprivation rate by age, sex and group of citizenship",A,Annual,NAT,Reporting country,Y_GE16,16 years or over,F,Females,PC,Percentage,BE,Belgium,2023,,9.3,,,,,
dataflow,ESTAT:ILC_MDSD04(1.0),"Material and social deprivation rate by age, sex and group of citizenship",A,Annual,NAT,Reporting country,Y_GE16,16 years or over,F,Females,PC,Percentage,BE,Belgium,2024,,9.7,,,,,
dataflow,ESTAT:ILC_MDSD04(1.0),"Material and social deprivation rate by age, sex and group of citizenship",A,Annual,NAT,Reporting country,Y_GE16,16 years or over,F,Females,PC,Percentage,BG,Bulgaria,2014,,54.5,,,,,
dataflow,ESTAT:ILC_MDSD04(1.0),"Material and social deprivation rate by age, sex and group of citizenship",A,Annual,NAT,Reporting country,Y_GE16,16 years or over,F,Females,PC,Percentage,BG,Bulgaria,2015,,52.8,,,,,
dataflow,ESTAT:ILC_MDSD04(1.0),"Material and social deprivation rate by age, sex and group of citizenship",A,Annual,NAT,Reporting country,Y_GE16,16 years or over,F,Females,PC,Percentage,BG,Bulgaria,2016,,50.5,,b,break in time series,,
dataflow,ESTAT:ILC_MDSD04(1.0),"Material and social deprivation rate by age, sex and group of citizenship",A,Annual,NAT,Reporting country,Y_GE16,16 years or over,F,Females,PC,Percentage,BG,Bulgaria,2017,,47.0,,,,,
dataflow,ESTAT:ILC_MDSD04(1.0),"Material and social deprivation rate by age, sex and group of citizenship",A,Annual,NAT,Reporting country,Y_GE16,16 years or over,F,Females,PC,Percentage,BG,Bulgaria,2018,,39.0,,,,,
dataflow,ESTAT:ILC_MDSD04(1.0),"Material and social deprivation rate by age, sex and group of citizenship",A,Annual,NAT,Reporting country,Y_GE16,16 years or over,F,Females,PC,Percentage,BG,Bulgaria,2019,,37.1,,,,,
dataflow,ESTAT:ILC_MDSD04(1.0),"Material and social deprivation rate by age, sex and group of citizenship",A,Annual,NAT,Reporting country,Y_GE16,16 years or over,F,Females,PC,Percentage,BG,Bulgaria,2020,,36.7,,,,,
dataflow,ESTAT:ILC_MDSD04(1.0),"Material and social deprivation rate by age, sex and group of citizenship",A,Annual,NAT,Reporting country,Y_GE16,16 years or over,F,Females,PC,Percentage,BG,Bulgaria,2021,,33.4,,,,,
dataflow,ESTAT:ILC_MDSD04(1.0),"Material and social deprivation rate by age, sex and group of citizenship",A,Annual,NAT,Reporting country,Y_GE16,16 years or over,F,Females,PC,Percentage,BG,Bulgaria,2022,,33.1,,,,,
dataflow,ESTAT:ILC_MDSD04(1.0),"Material and social deprivation rate by age, sex and group of citizenship",A,Annual,NAT,Reporting country,Y_GE16,16 years or over,F,Females,PC,Percentage,BG,Bulgaria,2023,,32.1,,,,,
dataflow,ESTAT:ILC_MDSD04(1.0),"Material and social deprivation rate by age, sex and group of citizenship",A,Annual,NAT,Reporting country,Y_GE16,16 years or over,F,Females,PC,Percentage,BG,Bulgaria,2024,,29.8,,,,,
dataflow,ESTAT:ILC_MDSD04(1.0),"Material and social deprivation rate by age, sex and group of citizenship",A,Annual,NAT,Reporting country,Y_GE16,16 years or over,F,Females,PC,Percentage,CH,Switzerland,2014,,4.1,,,,,
dataflow,ESTAT:ILC_MDSD04(1.0),"Material and social deprivation rate by age, sex and group of citizenship",A,Annual,NAT,Reporting country,Y_GE16,16 years or over,F,Females,PC,Percentage,CH,Switzerland,2015,,4.0,,,,,
dataflow,ESTAT:ILC_MDSD04(1.0),"Material and social deprivation rate by age, sex and group of citizenship",A,Annual,NAT,Reporting country,Y_GE16,16 years or over,F,Females,PC,Percentage,CH,Switzerland,2016,,3.6,,,,,
dataflow,ESTAT:ILC_MDSD04(1.0),"Material and social deprivation rate by age, sex and group of citizenship",A,Annual,NAT,Reporting country,Y_GE16,16 years or over,F,Females,PC,Percentage,CH,Switzerland,2017,,3.6,,,,,
dataflow,ESTAT:ILC_MDSD04(1.0),"Material and social deprivation rate by age, sex and group of citizenship",A,Annual,NAT,Reporting country,Y_GE16,16 years or over,F,Females,PC,Percentage,CH,Switzerland,2018,,4.4,,,,,
