STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,na_item,National accounts indicator (ESA 2010),geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:TIPSNA40(1.0),Real GDP per capita,A,Annual,CLV15_EUR_HAB,"Chain linked volumes (2015), euro per capita",B1GQ,Gross domestic product at market prices,AT,Austria,1995,,30290,,,,,
dataflow,ESTAT:TIPSNA40(1.0),Real GDP per capita,A,Annual,CLV15_EUR_HAB,"Chain linked volumes (2015), euro per capita",B1GQ,Gross domestic product at market prices,AT,Austria,1996,,30920,,,,,
dataflow,ESTAT:TIPSNA40(1.0),Real GDP per capita,A,Annual,CLV15_EUR_HAB,"Chain linked volumes (2015), euro per capita",B1GQ,Gross domestic product at market prices,AT,Austria,1997,,31540,,,,,
dataflow,ESTAT:TIPSNA40(1.0),Real GDP per capita,A,Annual,CLV15_EUR_HAB,"Chain linked volumes (2015), euro per capita",B1GQ,Gross domestic product at market prices,AT,Austria,1998,,32610,,,,,
dataflow,ESTAT:TIPSNA40(1.0),Real GDP per capita,A,Annual,CLV15_EUR_HAB,"Chain linked volumes (2015), euro per capita",B1GQ,Gross domestic product at market prices,AT,Austria,1999,,33770,,,,,
dataflow,ESTAT:TIPSNA40(1.0),Real GDP per capita,A,Annual,CLV15_EUR_HAB,"Chain linked volumes (2015), euro per capita",B1GQ,Gross domestic product at market prices,AT,Austria,2000,,34760,,,,,
dataflow,ESTAT:TIPSNA40(1.0),Real GDP per capita,A,Annual,CLV15_EUR_HAB,"Chain linked volumes (2015), euro per capita",B1GQ,Gross domestic product at market prices,AT,Austria,2001,,35090,,,,,
dataflow,ESTAT:TIPSNA40(1.0),Real GDP per capita,A,Annual,CLV15_EUR_HAB,"Chain linked volumes (2015), euro per capita",B1GQ,Gross domestic product at market prices,AT,Austria,2002,,35430,,,,,
dataflow,ESTAT:TIPSNA40(1.0),Real GDP per capita,A,Annual,CLV15_EUR_HAB,"Chain linked volumes (2015), euro per capita",B1GQ,Gross domestic product at market prices,AT,Austria,2003,,35680,,,,,
dataflow,ESTAT:TIPSNA40(1.0),Real GDP per capita,A,Annual,CLV15_EUR_HAB,"Chain linked volumes (2015), euro per capita",B1GQ,Gross domestic product at market prices,AT,Austria,2004,,36360,,,,,
dataflow,ESTAT:TIPSNA40(1.0),Real GDP per capita,A,Annual,CLV15_EUR_HAB,"Chain linked volumes (2015), euro per capita",B1GQ,Gross domestic product at market prices,AT,Austria,2005,,36950,,,,,
dataflow,ESTAT:TIPSNA40(1.0),Real GDP per capita,A,Annual,CLV15_EUR_HAB,"Chain linked volumes (2015), euro per capita",B1GQ,Gross domestic product at market prices,AT,Austria,2006,,37970,,,,,
dataflow,ESTAT:TIPSNA40(1.0),Real GDP per capita,A,Annual,CLV15_EUR_HAB,"Chain linked volumes (2015), euro per capita",B1GQ,Gross domestic product at market prices,AT,Austria,2007,,39270,,,,,
dataflow,ESTAT:TIPSNA40(1.0),Real GDP per capita,A,Annual,CLV15_EUR_HAB,"Chain linked volumes (2015), euro per capita",B1GQ,Gross domestic product at market prices,AT,Austria,2008,,39710,,,,,
dataflow,ESTAT:TIPSNA40(1.0),Real GDP per capita,A,Annual,CLV15_EUR_HAB,"Chain linked volumes (2015), euro per capita",B1GQ,Gross domestic product at market prices,AT,Austria,2009,,38200,,,,,
dataflow,ESTAT:TIPSNA40(1.0),Real GDP per capita,A,Annual,CLV15_EUR_HAB,"Chain linked volumes (2015), euro per capita",B1GQ,Gross domestic product at market prices,AT,Austria,2010,,38800,,,,,
dataflow,ESTAT:TIPSNA40(1.0),Real GDP per capita,A,Annual,CLV15_EUR_HAB,"Chain linked volumes (2015), euro per capita",B1GQ,Gross domestic product at market prices,AT,Austria,2011,,39800,,,,,
dataflow,ESTAT:TIPSNA40(1.0),Real GDP per capita,A,Annual,CLV15_EUR_HAB,"Chain linked volumes (2015), euro per capita",B1GQ,Gross domestic product at market prices,AT,Austria,2012,,39870,,,,,
dataflow,ESTAT:TIPSNA40(1.0),Real GDP per capita,A,Annual,CLV15_EUR_HAB,"Chain linked volumes (2015), euro per capita",B1GQ,Gross domestic product at market prices,AT,Austria,2013,,39540,,,,,
dataflow,ESTAT:TIPSNA40(1.0),Real GDP per capita,A,Annual,CLV15_EUR_HAB,"Chain linked volumes (2015), euro per capita",B1GQ,Gross domestic product at market prices,AT,Austria,2014,,39520,,,,,
dataflow,ESTAT:TIPSNA40(1.0),Real GDP per capita,A,Annual,CLV15_EUR_HAB,"Chain linked volumes (2015), euro per capita",B1GQ,Gross domestic product at market prices,AT,Austria,2015,,39640,,,,,
dataflow,ESTAT:TIPSNA40(1.0),Real GDP per capita,A,Annual,CLV15_EUR_HAB,"Chain linked volumes (2015), euro per capita",B1GQ,Gross domestic product at market prices,AT,Austria,2016,,39970,,,,,
dataflow,ESTAT:TIPSNA40(1.0),Real GDP per capita,A,Annual,CLV15_EUR_HAB,"Chain linked volumes (2015), euro per capita",B1GQ,Gross domestic product at market prices,AT,Austria,2017,,40620,,,,,
dataflow,ESTAT:TIPSNA40(1.0),Real GDP per capita,A,Annual,CLV15_EUR_HAB,"Chain linked volumes (2015), euro per capita",B1GQ,Gross domestic product at market prices,AT,Austria,2018,,41430,,,,,
dataflow,ESTAT:TIPSNA40(1.0),Real GDP per capita,A,Annual,CLV15_EUR_HAB,"Chain linked volumes (2015), euro per capita",B1GQ,Gross domestic product at market prices,AT,Austria,2019,,41970,,,,,
dataflow,ESTAT:TIPSNA40(1.0),Real GDP per capita,A,Annual,CLV15_EUR_HAB,"Chain linked volumes (2015), euro per capita",B1GQ,Gross domestic product at market prices,AT,Austria,2020,,39140,,,,,
dataflow,ESTAT:TIPSNA40(1.0),Real GDP per capita,A,Annual,CLV15_EUR_HAB,"Chain linked volumes (2015), euro per capita",B1GQ,Gross domestic product at market prices,AT,Austria,2021,,40860,,,,,
dataflow,ESTAT:TIPSNA40(1.0),Real GDP per capita,A,Annual,CLV15_EUR_HAB,"Chain linked volumes (2015), euro per capita",B1GQ,Gross domestic product at market prices,AT,Austria,2022,,42540,,,,,
dataflow,ESTAT:TIPSNA40(1.0),Real GDP per capita,A,Annual,CLV15_EUR_HAB,"Chain linked volumes (2015), euro per capita",B1GQ,Gross domestic product at market prices,AT,Austria,2023,,41770,,,,,
dataflow,ESTAT:TIPSNA40(1.0),Real GDP per capita,A,Annual,CLV15_EUR_HAB,"Chain linked volumes (2015), euro per capita",B1GQ,Gross domestic product at market prices,AT,Austria,2024,,41140,,,,,
dataflow,ESTAT:TIPSNA40(1.0),Real GDP per capita,A,Annual,CLV15_EUR_HAB,"Chain linked volumes (2015), euro per capita",B1GQ,Gross domestic product at market prices,BE,Belgium,1995,,28400,,,,,
